Feature,Mean_SHAP_Impact
Promo,820.7834
Sales_lag_1,610.31415
Sales_roll_mean_30,566.60095
Sales_roll_mean_14,535.5718
Sales_ewm_7,298.74924
DayOfWeek,275.02594
Day,235.40027
DayOfWeek_sin,101.7683
DayOfWeek_cos,98.03466
Year,68.177734
Sales_roll_std_30,67.71058
Sales_lag_14,63.73195
Sales_lag_7,63.07831
WeekOfYear,46.1925
StoreType_d,41.14452
Sales_roll_std_7,40.742195
SchoolHoliday,36.142292
Month_sin,33.415028
Sales_roll_mean_7,32.931873
Sales_lag_30,32.12926
IsMonthEnd,29.60681
IsPromo2Month,26.14748
CompetitionDistance,25.752953
Month_cos,22.267721
Sales_roll_std_14,21.497797
StoreType_c,20.884796
IsWeekend,18.925062
Promo2OpenWeeks,17.976706
Assortment_c,16.792442
Month,15.533836
StoreType_b,6.7369914
Store,6.539488
IsMonthStart,6.457689
Promo2SinceYear,6.0779715
Promo2SinceWeek,4.1080017
CompetitionOpenSinceMonth,3.5388362
CompetitionOpenSinceYear,3.3953977
Promo2,3.3709402
CompetitionOpenMonths,3.2074826
Assortment_b,1.7902505
StateHoliday_a,0.33166242
StateHoliday_b,0.12835102
StateHoliday_c,0.07764323
